Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Yacht Club,,ev.827,79802,,CZ,,,,Werften
TJ Císařská louka,,,,,CZ,,+420 777 184 917,http://www.yccl.cz/,Werften;Service/Repair;Kran
Námořní centrum Ostrava,,,,,CZ,,,http://www.namornicentrum.cz,Tauwerk;Beschläge;Bootszubehör
JESKO CZ s. r. o.,,,,,CZ,,,,Werften;Service/Repair;Kran
